epoch,lr,loss,iou,dice_mean,dice_bg,dice_aurt,dice_cvc,dice_heart,val_loss,val_iou,val_dice_mean,val_dice_bg,val_dice_aurt,val_dice_cvc,val_dice_heart
0,9.999444846167473e-05,0.9307147637642814,0.37570138895368976,0.4326795222883889,0.9809424372087127,0.1587506771872987,0.03414357668353658,0.5568813980740084,0.6472437769316717,0.5339086524029683,0.6106135293008219,0.9874414525539512,0.4960254404663055,0.19077902475407166,0.7682081994289585
1,9.997779521645792e-05,0.5681770677459308,0.6003196599735363,0.5554607285179629,0.9892840801811958,0.30486610205872283,0.11689106318404043,0.8108016686478878,0.4707446682292062,0.6004517635133628,0.5979059131165666,0.9873682623317193,0.3383841843174574,0.21520767443000838,0.8506635313870813
2,9.995004437328866e-05,0.4162134671947858,0.6587146452531347,0.6266751854277354,0.9908753689413642,0.30317067227310646,0.3556690969281296,0.8569856035683405,0.3566680599614054,0.6778218741605506,0.6762442502242972,0.9908313067792923,0.40385308526253344,0.44662428073544636,0.863668328119917
3,9.991120277927223e-05,0.3290058956837688,0.7048900539863938,0.6768496126218717,0.9922448913627241,0.345358048914063,0.49379045249305326,0.8760050577176463,0.32416216205858844,0.6965365200309955,0.6987284255645803,0.9906795780121539,0.3935318729549767,0.5335457042513262,0.8771565470398642
4,9.986128001799077e-05,0.29345784397537245,0.727039061095205,0.701573657430451,0.9930364470837304,0.3821461190300181,0.5407536731429659,0.890358390465091,0.2911018865902587,0.7257586354555859,0.7676673836449193,0.9919795767071574,0.566546088511815,0.6252494546206185,0.8868944147400856
5,9.98002884071386e-05,0.26133849762285144,0.7480100900199583,0.7220582587434907,0.9936228451926324,0.40579458172306354,0.5903426305462772,0.8984729775119915,0.29143462214020743,0.7226388265529556,0.7218312065037653,0.9919539286114462,0.4477500410572836,0.5591124968222191,0.8885083595241121
6,9.972824299548309e-05,0.2446748220385514,0.7590727847956991,0.7393610907471405,0.9940187969774344,0.4219828951254349,0.6350244718177591,0.9064181990679303,0.2573419766698998,0.7403646263180914,0.7765169934014733,0.9926690254810883,0.5477913475292613,0.6685956130108819,0.8970119875846628
7,9.96451615591515e-05,0.23588125335406143,0.767024830352674,0.740421949643079,0.994190389398842,0.42388844658492225,0.6341693997321506,0.9094395628564019,0.24282448307651025,0.773972851274655,0.8089995313364494,0.9933106585785835,0.5786599246151438,0.7530719863551176,0.9109555557969511
8,9.955106459724507e-05,0.22546349653166853,0.773316218348618,0.7554725602791553,0.9943150366120972,0.4412932037203394,0.6754772039768568,0.9108047968073304,0.2341014588272439,0.772478284820712,0.8082860093115464,0.9935487077741374,0.567069366678608,0.7609089348659035,0.9116170279275354
9,9.944597532678118e-05,0.22600725261499793,0.7792239583228181,0.7553772035593835,0.994510369401522,0.4546957952502281,0.6576397761163437,0.9146628734694391,0.2837098725910028,0.7391081427706606,0.7848754046261477,0.9914363507771976,0.5834109876262767,0.6915841675311604,0.8730701125699569
10,9.93299196769648e-05,0.2197320004318321,0.7811634015528138,0.7595593545499093,0.9945711918802973,0.45304892261629803,0.6743137944356433,0.9163035092673952,0.22488528640499555,0.7759854152711395,0.7974708260129213,0.9935054306671545,0.539717549201202,0.7433526043364694,0.91330771984686
11,9.920292628279096e-05,0.21943120317264506,0.7847585467965271,0.7603808699278152,0.9946047525622033,0.459271722343209,0.6719714344830733,0.9156755703227741,0.23174436607165633,0.761833992218959,0.8110296035109688,0.9916144934394527,0.5741833302917635,0.7969127623585053,0.8814078279541525
12,9.906502647797942e-05,0.20373459338941335,0.788920639426895,0.7689744057803714,0.9948081804665473,0.464350044077196,0.6959328026701651,0.9208065959075787,0.2376573794596904,0.757568409180634,0.7947830476768545,0.9929656646242079,0.5298494882090197,0.7560492738149133,0.9002677640592776
13,9.89162542872436e-05,0.20488192019166251,0.7938159646805938,0.773413826646004,0.9950305816148303,0.46185141810847063,0.712503091613517,0.9242702152472011,0.20720272890287667,0.782920832525955,0.8175541790394397,0.9932646879779884,0.5746805105548957,0.7882822713310698,0.913989246293806
